period,WB_PRICE,WB_RET_3M,WB_RET_6M,WB_VOL_6M,GCF_PRICE,GCF_N_DAILY,GCF_RET_3M,GCF_RET_6M,GCF_VOL_6M,ABS_REL_LEVEL_GAP,ABS_RET3_DIFF,ABS_RET6_DIFF,ABS_VOL6_DIFF
2015-09,1125.0,-0.048223350253807085,-0.04580152671755722,0.022024726246212347,1123.8238002232142,21,-0.04823754926622004,-0.04580220750283215,0.02175799956091905,0.001045510912698444,1.4199012412952072e-05,6.80785274931317e-07,0.0002667266852932962
2015-10,1159.0,0.027482269503546153,-0.03336113427856546,0.025311966407658967,1159.859092018821,22,0.028140294494375384,-0.033312664079366505,0.02527390555377768,0.0007412355641251978,0.0006580249908292313,4.8470199198957786e-05,3.8060853881288076e-05
2015-11,1086.0,-0.028622540250447193,-0.0942452043369475,0.034625493519957494,1084.0050048828125,20,-0.0310425246236542,-0.0953167860923414,0.03545596697481176,0.0018370120784415578,0.002419984373207007,0.0010715817553939022,0.0008304734548542636
2015-12,1076.0,-0.04355555555555557,-0.08967851099830793,0.034750565628523716,1069.9454567649148,22,-0.04794198472002298,-0.09386693013639047,0.035480402295867595,0.005626898917365453,0.004386429164467409,0.004188419138082544,0.0007298366673438791
2016-01,1098.0,-0.052631578947368474,-0.02659574468085102,0.03349994164250883,1097.6420962685033,19,-0.05364185716906733,-0.027011060332654768,0.035664254084623453,0.0003259596826017397,0.001010278221698857,0.0004153156518037493,0.0021643124421146243
2016-02,1200.0,0.1049723756906078,0.07334525939177095,0.050416366697269656,1201.4050048828126,20,0.10830208298963684,0.07389758828798376,0.05239622937804494,0.001170837402343805,0.003329707299029039,0.000552328896212817,0.0019798626807752823
2016-03,1245.0,0.15706319702602234,0.10666666666666669,0.05128016794187228,1244.8818192915483,22,0.16350026201856194,0.10771975023512526,0.05305233807261335,9.492426381663144e-05,0.006437064992539598,0.0010530835684585682,0.0017721701307410673
2016-04,1242.0,0.13114754098360648,0.0716134598792062,0.051346511902024834,1242.5380801246279,21,0.1320065842488245,0.07128364874210535,0.05297977574263478,0.0004332368153203703,0.000859043265218018,0.00032981113710084387,0.0016332638406099456
2016-05,1261.0,0.050833333333333286,0.1611418047882136,0.035376679395177565,1259.5904773530506,21,0.04843118867805418,0.16197847028318835,0.03654986808739604,0.001117781639135118,0.0024021446552791037,0.0008366654949747421,0.0011731886922184756
2016-06,1276.0,0.02489959839357425,0.18587360594795532,0.032212314391841135,1276.7454612038352,22,0.025595716331065388,0.19328088467630922,0.032385300400386376,0.0005842172443850657,0.0006961179374911364,0.007407278728353894,0.00017298600854524088
2016-07,1337.0,0.07648953301127204,0.2176684881602915,0.032677280442635265,1337.2100036621093,20,0.07619237192954742,0.2182568509426075,0.03298566475685193,0.00015707080187676858,0.0002971610817246173,0.0005883627823159987,0.0003083843142166684
2016-08,1340.0,0.0626486915146709,0.1166666666666667,0.01943042110877694,1337.9565270465353,23,0.06221549868983289,0.11365985792363342,0.019214091116656583,0.0015249798160185124,0.00043319282483800237,0.0030068087430332735,0.00021632999212035584
2016-09,1327.0,0.03996865203761746,0.06586345381526115,0.01989389054820067,1325.1142868768602,21,0.037884470431105655,0.06444986692067811,0.0197813980930781,0.0014210347574526994,0.0020841816065118035,0.001413586894583041,0.00011249245512257033
2016-10,1267.0,-0.05235602094240843,0.020128824476650653,0.030743193544889486,1263.9800109863281,20,-0.05476327014846738,0.01725655833384976,0.030936470602320246,0.00238357459642613,0.002407249206058948,0.0028722661428008944,0.00019327705743076018
2016-11,1238.0,-0.07611940298507458,-0.018239492466296636,0.03175243102833725,1235.9600036621093,20,-0.07623306237727889,-0.01876044167990154,0.031909522088922455,0.0016478161049198192,0.00011365939220431276,0.0005209492136049043,0.00015709106058520855
2016-12,1157.0,-0.12810851544837976,-0.09326018808777425,0.03984750555402047,1151.395252046131,21,-0.1310973978253338,-0.09817948288573697,0.04052425790645046,0.004844207393145283,0.0029888823769540496,0.004919294797962714,0.0006767523524299907
2017-01,1192.0,-0.059194948697711136,-0.10845175766641735,0.034778214227011967,1193.190008544922,20,-0.056005634445252195,-0.10770185290475798,0.0373013890641983,0.0009983293162096896,0.0031893142524589413,0.0007499047616593701,0.0025231748371863302
