asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
SP500,24,10,7,0.1655985619913758,0.13637033203883742,0.3112293190193598,0.0846854814056811,0.16003892255640584,0.0,0.14285714285714285,1.0,1.0,1.0
USD_BROAD,1,2,2,0.018879093563809235,0.018879093563809235,0.03171927557486054,0.0,0.0,0.0,1.0,0.5,0.0,0.0
USD_BROAD,2,2,2,0.023189964416118203,0.023189964416118203,0.040856874969132706,0.0,0.008267085204926361,0.0,0.5,0.5,0.0,0.0
USD_BROAD,3,2,2,0.0018065884902294105,0.0018065884902294105,0.04372231425156192,0.0,0.028993048586752668,0.0,0.5,0.5,0.0,0.0
USD_BROAD,4,2,2,-0.014992480885080206,-0.014992480885080206,0.06742269676599144,0.0,0.045275645774780604,0.5,0.5,0.5,0.0,0.0
USD_BROAD,5,2,2,-0.004934088048373697,-0.004934088048373697,0.06365351123111207,0.003531108666041116,0.045275645774780604,0.0,0.5,0.5,0.0,0.0
USD_BROAD,6,2,2,-0.0011816756242173376,-0.0011816756242173376,0.092148399618464,0.003531108666041116,0.045275645774780604,0.0,0.0,0.5,0.0,0.0
USD_BROAD,7,2,2,0.007034364264083104,0.007034364264083104,0.10854876509932398,0.003531108666041116,0.045275645774780604,0.0,0.0,0.5,0.0,0.0
USD_BROAD,8,2,2,-0.0022673230326349936,-0.0022673230326349936,0.08569714252055571,0.020613998498046016,0.045275645774780604,0.0,0.5,0.5,0.0,0.0
USD_BROAD,9,2,2,0.005598015602960471,0.005598015602960471,0.062928074357681,0.04115352628402902,0.045275645774780604,0.0,0.5,0.5,0.0,0.0
USD_BROAD,10,2,2,0.01596435457669476,0.01596435457669476,0.04184710766174771,0.045275645774780604,0.06017025099622009,0.0,0.5,0.5,0.0,0.0
USD_BROAD,11,2,2,0.03953658160067253,0.03953658160067253,0.04618031173243642,0.045275645774780604,0.06017025099622009,0.0,0.0,0.5,0.0,0.0
USD_BROAD,12,2,2,0.04997725027465605,0.04997725027465605,0.05562833247577603,0.045275645774780604,0.06017025099622009,0.0,0.0,0.5,0.0,0.0
