date,legacy_26w_return,modern_126obs_return,legacy_sign,modern_sign,sign_agrees
2010-01-27,-0.016370392024328106,-0.00964652388284537,-1,-1,True
2010-02-03,0.0011359419508301105,-0.008142978821184754,1,-1,False
2010-02-10,0.0013624626346935287,0.024065454791340146,1,1,True
2010-02-17,-0.006153626932408951,0.00880384167636783,-1,1,False
2010-02-24,0.0071258780978682434,0.007145811927034007,1,1,True
2010-03-03,0.0008584818537900052,-0.00696140775134535,1,-1,False
2010-03-10,0.0067575349326789436,-0.0035761482120922894,1,-1,False
2010-03-17,0.013179803984314287,-0.012023168896367453,1,-1,False
2010-03-24,0.023830134748876963,0.03351286926933117,1,1,True
2010-03-31,0.02503351011525301,0.02437931669687554,1,1,True
2010-04-07,0.024564006211306832,0.019089444679948997,1,1,True
2010-04-14,0.03383527588455837,0.003924867467975046,1,1,True
2010-04-21,0.041408572801511,0.030815237098543502,1,1,True
2010-04-28,0.04116310206323592,0.06032060797184258,1,1,True
2010-05-05,0.04503816585344533,0.06222214046830432,1,1,True
2010-05-12,0.07206664396301043,0.06290958399368352,1,1,True
2010-05-19,0.09228877661364132,0.10338499373578958,1,1,True
2010-05-26,0.10109810716994505,0.10440170811864435,1,1,True
2010-06-02,0.1060528737555424,0.10259428218906774,1,1,True
2010-06-09,0.10614128162637915,0.11894259181089062,1,1,True
2010-06-16,0.07967726770818517,0.07748530791644037,1,1,True
2010-06-23,0.05435275531638584,0.06714267035796917,1,1,True
2010-06-30,0.06205180602069982,0.06596501462999882,1,1,True
2010-07-07,0.056023013304566716,0.046285298546605125,1,1,True
2010-07-14,0.05082182111525646,0.03936098154394729,1,1,True
2010-07-21,0.043332897717372365,0.05444583335248199,1,1,True
2010-07-28,0.024355083153694723,0.025149034867450126,1,1,True
2010-08-04,0.0023653049496739076,-0.0026800248517468983,1,-1,False
2010-08-11,-0.007967018102300383,0.0017739940397323295,-1,1,False
2010-08-18,0.010131919396014322,0.00013466601173361958,1,1,True
2010-08-25,0.012613521695257202,0.02153609030476744,1,1,True
2010-09-01,0.01498336875234485,0.013211079342069443,1,1,True
2010-09-08,0.011245490630088062,0.0117019451629361,1,1,True
2010-09-15,0.009542137974229536,0.006186982624340809,1,1,True
2010-09-22,-0.0031653478825006687,-0.021242706597300653,-1,-1,True
2010-09-29,-0.026419929351562454,-0.02089317748782693,-1,-1,True
2010-10-06,-0.03346513595294365,-0.040931731224032486,-1,-1,True
2010-10-13,-0.03796939935021637,-0.03271245097631237,-1,-1,True
2010-10-20,-0.04202929963578228,-0.036735811627663595,-1,-1,True
2010-10-27,-0.044875962970241434,-0.04230226584827623,-1,-1,True
2010-11-03,-0.05926103113697467,-0.06990922580554382,-1,-1,True
2010-11-10,-0.07887277572290619,-0.0685027807622497,-1,-1,True
2010-11-17,-0.07415003669727094,-0.07083251693259263,-1,-1,True
2010-11-24,-0.07737181686885108,-0.08089461001637754,-1,-1,True
2010-12-01,-0.06018362687664125,-0.06254201109619728,-1,-1,True
2010-12-08,-0.08141433519983732,-0.07956073836262723,-1,-1,True
2010-12-15,-0.06857108863169203,-0.06321035955541687,-1,-1,True
2010-12-22,-0.0532802054324214,-0.05005352374454464,-1,-1,True
2010-12-29,-0.061262847929633324,-0.059401553430894594,-1,-1,True
2011-01-05,-0.06018744571167178,-0.056541139976568844,-1,-1,True
2011-01-12,-0.04189565248964522,-0.05073061888161312,-1,-1,True
2011-01-19,-0.05083609072784767,-0.054051341684111076,-1,-1,True
2011-01-26,-0.04929148495406532,-0.05451931688538625,-1,-1,True
2011-02-02,-0.04246571151515788,-0.05014232950388631,-1,-1,True
2011-02-09,-0.0418125558724618,-0.033236325413198875,-1,-1,True
2011-02-16,-0.04725882020515315,-0.05300822613109302,-1,-1,True
2011-02-23,-0.06192984241020305,-0.056203301305090436,-1,-1,True
2011-03-02,-0.06965732982412598,-0.0735959895240289,-1,-1,True
2011-03-09,-0.06669104551039029,-0.06837676221276112,-1,-1,True
2011-03-16,-0.05733871373992161,-0.062336339751252856,-1,-1,True
2011-03-23,-0.06023789487441755,-0.06270052555736394,-1,-1,True
2011-03-30,-0.043655930009555144,-0.04184274293996415,-1,-1,True
2011-04-06,-0.034132689458376775,-0.039442119305397316,-1,-1,True
2011-04-13,-0.03163232910820313,-0.03442086674579503,-1,-1,True
2011-04-20,-0.03307811042508768,-0.0396022016831894,-1,-1,True
2011-04-27,-0.04916898654470736,-0.0457337314511953,-1,-1,True
2011-05-04,-0.053180344086858344,-0.05362271657689577,-1,-1,True
2011-05-11,-0.032840101196825455,-0.031046652760887916,-1,-1,True
2011-05-18,-0.04152707248583298,-0.04860112800710037,-1,-1,True
2011-05-25,-0.04161540693753596,-0.04634821757227403,-1,-1,True
2011-06-01,-0.06488137475704192,-0.07333967921990281,-1,-1,True
2011-06-08,-0.0617007668293027,-0.06035554747263483,-1,-1,True
