asset,anchor,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share
USD_BROAD,PAUSE_START,9,3,3,0.0045989633027465615,0.029668763122772668,0.03775106660618621,0.3333333333333333,0.3333333333333333
USD_BROAD,PAUSE_START,10,3,3,0.0029916337424364947,0.029668763122772668,0.04057148440920222,0.3333333333333333,0.3333333333333333
USD_BROAD,PAUSE_START,11,3,3,-0.0026003835193300073,0.029668763122772668,0.05315795403587531,0.3333333333333333,0.3333333333333333
USD_BROAD,PAUSE_START,12,3,3,-0.008023449483129164,0.029668763122772668,0.05315795403587531,0.0,0.3333333333333333
WTI,FIRST_CUT,1,8,6,0.0027152557454892534,0.0,0.020637746462974116,0.4444444444444444,1.0
WTI,FIRST_CUT,2,8,6,-0.028285692962161324,0.020637746462974116,0.07987066081914818,0.4444444444444444,0.4444444444444444
WTI,FIRST_CUT,3,8,6,-0.03736493981348343,0.052398836141309135,0.07987066081914818,0.38888888888888884,0.5555555555555555
WTI,FIRST_CUT,4,8,6,-6.7845673707434e-05,0.052398836141309135,0.07987066081914818,0.1111111111111111,0.1111111111111111
WTI,FIRST_CUT,5,8,6,-0.011267142935360908,0.052398836141309135,0.0878051961138806,0.05555555555555555,0.05555555555555555
WTI,FIRST_CUT,6,8,6,0.028778810125479337,0.052398836141309135,0.11011715996808136,0.3333333333333333,0.3333333333333333
WTI,FIRST_CUT,7,8,6,-0.04408914642140749,0.10270835555239555,0.17143935397315602,0.3888888888888889,0.3888888888888889
WTI,FIRST_CUT,8,8,6,-0.0757774947619243,0.10614856344613988,0.20063280212624934,0.611111111111111,0.611111111111111
WTI,FIRST_CUT,9,8,6,-0.11103062778966577,0.18929265096197523,0.25194469696584953,0.3333333333333333,0.3888888888888889
WTI,FIRST_CUT,10,8,6,-0.10813678476375643,0.18929265096197523,0.3336169966938036,0.27777777777777773,0.4444444444444444
WTI,FIRST_CUT,11,8,6,-0.1541263132758246,0.18929265096197523,0.3430163134968517,0.27777777777777773,0.611111111111111
WTI,FIRST_CUT,12,8,6,-0.16935357072857626,0.22233129881770453,0.3430163134968517,0.1111111111111111,0.27777777777777773
WTI,FIRST_HIKE,1,8,6,0.01099677456808923,0.0,0.020770931673122384,0.38888888888888884,1.0
WTI,FIRST_HIKE,2,8,6,0.11999060366773895,0.0,0.024568992938482248,0.16666666666666666,0.2222222222222222
